"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway",288,0.466842252678973,1.7143843537903,8.20044356522507e-07,2.31147478227674e-05,1.77403425222292e-05,2439,"tags=27%, list=15%, signal=24%","115352/115362/6280/6279/91543/4940/8638/497189/4938/80342/146722/118788/51296/9212/197358/5777/2672/3662/3659/51284/4615/3663/81559/1520/115004/3665/3654/1535/142/55601/7305/84885/84868/330/11314/81622/79132/4067/9111/10212/6565/26191/7128/4034/3430/64135/6850/55577/7706/80772/84243/201292/7187/3824/64581/79155/695/56829/171389/10333/79792/409/55666/23586/148022/3656/3055/79879/9261/80231/5872/64127/2534/54859/7124/7096/5591/5245/4210"
"GO:2001251","GO:2001251","negative regulation of chromosome organization",87,0.636214514820863,2.00873481871385,8.36930473170004e-07,2.33605666706281e-05,1.79290060799243e-05,2096,"tags=31%, list=13%, signal=27%","332/80119/57082/83903/991/10403/9700/1063/9319/701/55143/699/9212/5347/891/11130/142/10459/348654/5371/9735/3020/8260/8379/3619/9184/54908"
"GO:0050727","GO:0050727","regulation of inflammatory response",319,0.463912971500016,1.72515645609893,8.33008512003346e-07,2.33605666706281e-05,1.79290060799243e-05,2451,"tags=29%, list=15%, signal=25%","115362/6280/4318/6279/284340/2209/26279/81030/6352/183/1236/4818/50943/56833/8530/5788/89790/118788/6693/8840/101/3123/197358/3587/5777/63940/3559/3553/11274/6348/51284/4615/7941/2161/2207/4192/2177/2633/330/8482/80709/1230/2175/4067/5294/79651/653361/9111/940/729230/7128/348/2000/1075/3430/26090/6850/2896/7133/7292/8673/2635/2629/56905/5580/201292/695/171389/7040/79626/10333/2213/135/59341/79792/2876/3055/5467/25807/3600/5692/2778/2113/4363/836/8717/64127/22904/2534/7124/11221/4210/54"
"GO:0048525","GO:0048525","negative regulation of viral process",63,0.691755680158777,2.08594196884945,8.81944474000611e-07,2.4497506214716e-05,1.8801596042568e-05,2522,"tags=46%, list=16%, signal=39%","9636/4939/6352/91543/4940/8638/6772/4938/3669/4599/9235/684/81559/9830/60489/8519/64135/6737/5359/56829/3434/6732/55337/57169/63901/5987/7124/6590/55223"
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen",34,0.782828173244516,2.12151851721063,9.0515353910589e-07,2.50207176365406e-05,1.92031556834466e-05,1681,"tags=68%, list=10%, signal=61%","2209/3134/3111/3113/3122/3123/6891/3127/972/3109/3105/1520/3115/2207/3112/1509/81622/567/3117/1785/3108/3119/2213"
"GO:0045577","GO:0045577","regulation of B cell differentiation",32,0.79575427608845,2.10918878928495,9.40730129746574e-07,2.58791240500476e-05,1.9861974196876e-05,1735,"tags=47%, list=11%, signal=42%","115352/259307/3149/3624/22806/84433/3561/56833/5777/3071/6688/3635/6850/695/939"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation",45,0.729084678152905,2.0631548226883,9.5514744974269e-07,2.61120148939044e-05,2.00407156381408e-05,2096,"tags=49%, list=13%, signal=43%","332/57082/83903/991/10403/1063/9319/701/55143/699/9212/5347/891/11130/10459/348654/55743/9735/8379/3619/9184/54908"
"GO:0048863","GO:0048863","stem cell differentiation",225,-0.490120895457414,-1.81979034782961,9.58322811555389e-07,2.61120148939044e-05,2.00407156381408e-05,1707,"tags=21%, list=11%, signal=19%","30812/7869/145258/4093/7048/657/1909/2494/596/2487/6422/6591/4089/4090/4222/7473/1947/83989/10413/2260/223117/4040/3233/10512/3204/6910/57556/2103/1910/56920/7022/5156/399694/2099/80031/8854/9037/2247/3815/9464/130497/2263/2066/3084/6663/5764/3861/8626"
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response",121,0.591408106378296,1.96082957668389,1.00751473402781e-06,2.73222716024034e-05,2.0969575806256e-05,2132,"tags=37%, list=13%, signal=33%","924/8140/91543/54440/10859/3561/7805/3134/6504/5788/10666/7293/972/3553/942/51284/6398/4615/3105/30009/3663/2207/951/8482/10459/567/64170/940/7186/7468/7037/6850/7292/2590/4282/64581/695/7040/958/23586/148022/2821/9261/2048/163486"
"GO:0001822","GO:0001822","kidney development",280,-0.463265739335329,-1.74254437110662,1.0979743035963e-06,2.96349479489531e-05,2.27445322472879e-05,2231,"tags=30%, list=14%, signal=26%","7248/26585/80184/650/26146/182/26249/403/5530/2043/1028/5087/3675/7482/8100/30812/7010/6385/1909/596/80000/284/27031/5159/6422/4089/1958/4090/55366/116039/847/8642/3690/28514/4763/84159/10413/80114/2260/57545/2246/23371/10252/26108/25959/5311/9353/4811/4609/5154/2737/9863/947/9231/2028/65266/168667/358/1910/25976/54361/79659/5156/185/9510/153572/8854/59/4311/2625/7704/2247/28999/2674/130497/80310/168002/2719/2263/2066/4036/8516/2255/79192"
