"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000172780",34.5012121498135,1.80262896018405,0.505645974294042,2.61490375946009e-05,0.00108152194068531,"ENSG00000172780","RAB43"
"ENSG00000124203",101.09902270752,2.254593275641,0.64664868719811,2.62482658880533e-05,0.0010832913347476,"ENSG00000124203","ZNF831"
"ENSG00000225864",222.679594323431,2.1280062887639,0.609418110489614,2.67159511434145e-05,0.00110022707809714,"ENSG00000225864",NA
"ENSG00000137727",40.677220402315,-2.06054457368321,0.587032117418483,2.67910323832697e-05,0.00110095653633261,"ENSG00000137727","ARHGAP20"
"ENSG00000093072",396.660245327495,1.68714083906861,0.475578593684845,2.77222951672597e-05,0.00113679180887795,"ENSG00000093072","ADA2"
"ENSG00000128849",213.491775651318,-1.65649664835691,0.467501632669439,2.86735272472144e-05,0.00117329138891533,"ENSG00000128849","CGNL1"
"ENSG00000024526",17.2515816912377,3.00267544403614,0.865005436142328,2.91509013584746e-05,0.00118540675905311,"ENSG00000024526","DEPDC1"
"ENSG00000179094",1219.99689069467,-1.8606299427647,0.532082343913294,2.90715921225691e-05,0.00118540675905311,"ENSG00000179094","PER1"
"ENSG00000271774",65.0263176204512,-1.82098478793498,0.517953239068868,2.91549158601983e-05,0.00118540675905311,"ENSG00000271774",NA
"ENSG00000105877",80.4379531939798,2.02490270060592,0.582186224990612,3.01174421423921e-05,0.00122195313351934,"ENSG00000105877","DNAH11"
"ENSG00000064651",271.545652728588,-1.6765930757012,0.476433349767941,3.07404860685553e-05,0.00124198035398241,"ENSG00000064651","SLC12A2"
"ENSG00000189159",125.206132841554,2.03526926882252,0.587169953162261,3.07160275358827e-05,0.00124198035398241,"ENSG00000189159","JPT1"
"ENSG00000055163",232.884855561913,1.90118535671532,0.545277141487494,3.10345727832293e-05,0.00125122791235915,"ENSG00000055163","CYFIP2"
"ENSG00000121440",267.298756877914,-1.83837042672464,0.528045777032231,3.13487932382117e-05,0.00126124673172855,"ENSG00000121440","PDZRN3"
"ENSG00000172061",320.015380497924,2.85442765344133,0.846651115480682,3.16948062143772e-05,0.00127250005451906,"ENSG00000172061","LRRC15"
"ENSG00000188404",56.0529742797894,2.44511495691189,0.716187662441875,3.19221166476518e-05,0.00127363272470912,"ENSG00000188404","SELL"
"ENSG00000205221",31.8557466227245,-2.66622291039912,0.778670071898095,3.19015788456578e-05,0.00127363272470912,"ENSG00000205221","VIT"
"ENSG00000156886",23.9876061473236,2.10433634210275,0.605070547975649,3.18698421728015e-05,0.00127363272470912,"ENSG00000156886","ITGAD"
"ENSG00000188282",17.7352607810931,3.32247311829859,0.969363971538265,3.20874561299822e-05,0.00127652352302339,"ENSG00000188282","RUFY4"
